"ComputerName","LogName","Product","Location","TypeInfo","Level"
"CLAMSEN-HP","Cert TEST","SitePath","C:\inetpub\wwwroot\Cert","Folder","Site"
"CLAMSEN-HP","blabla","SitePath","C:\inetpub\wwwroot\PowerBIProd","Folder","Site"
"CLAMSEN-HP","Cert TEST","IISLogs","C:\inetpub\logs\LogFiles\W3SVC1","Folder","Site"
"CLAMSEN-HP","blabla","IISLogs","C:\inetpub\logs\LogFiles\W3SVC2","Folder","Site"
"CLAMSEN-HP","blabla","FrebLogs","C:\inetpub\logs\FailedReqLogFiles\W3SVC2","Folder","Site"
"CLAMSEN-HP","IISConfig","IIS","C:\WINDOWS\system32\inetsrv\config","Folder","Server"
"CLAMSEN-HP","HTTPERRLog","IIS","C:\Windows\System32\LogFiles\HTTPERR","Folder","Server"
"CLAMSEN-HP","Application","OS","C:\Windows\System32\winevt\Logs\Application.evtx","evtx","Server"
"CLAMSEN-HP","System","OS","C:\Windows\System32\winevt\Logs\System.evtx","evtx","Server"
"CLAMSEN-HP","Security","OS","C:\Windows\System32\winevt\Logs\Security.evtx","evtx","Server"
"CLAMSEN-HP","Security","OS","C:\Windows\System32\winevt\Logs\Microsoft-Windows-CAPI2%4Operational.evtx","evtx","Server"
"CLAMSEN-HP","ToolLog","Tool","D:\CODE\GithubDesktop\LogCatcher\LogCatcher\ScriptLog\ToolLog.log","File","Server"
"CLAMSEN-HP","LogDefinition","Tool","D:\CODE\GithubDesktop\LogCatcher\LogCatcher\LogsDefinition\LOGS.CSV","File","Server"
"CLAMSEN-HP","NetPath","OS","C:\Windows\Microsoft.NET\","Folder","Server"
